CATEGORY,ITEM_ID,ITEM_NAME,SALE_PRICE,REDUCED_PRICE,BENEFIT_PRICE,DISCOUNT_RATE,IS_FOOD,ITEM_FEATURE1,ITEM_FEATURE2,MEANING_SCORE,PRICE_DT,KURLY_HCT,KURLY_MCT
냉동식품,1304273249,아워홈 매콤불닭볶음밥 230g 10개,"24,000","24,000",0, - , 식품 ,,컬리온리,,2022-07-01,간식_과자_떡,아이스크림
소금,30885534766,샘표 한여름눈꽃 꽃소금,"15,400","15,400",0, - , 식품 ,,,,2022-07-01,면_양념_오일,소금_설탕_향신료
김치,27715132325,꼬꼬빌 [CJ프레시웨이] 이츠웰 맛김치 10kg,"39,510","39,510",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
고춧가루,26785362463,[푸르젠] 국내산 고춧가루 1kg x 1팩,"32,460","32,460",0, - , 식품 ,,KF365,,2022-07-01,면_양념_오일,소금_설탕_향신료
스낵과자,25542611792,[농심] 새우깡 90g,"1,120","1,120",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,과자_스낵_쿠키
낙지,32579129058,[대한민국 수산식품 이금선 명인] 낙지젓갈 500g,"16,900","16,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,오징어_낙지_문어
냉동식품,24088071745,CJ제일제당 비비고 왕교자490gx2,"8,980","8,980",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
고사리,84265262412,제주 고사리 300g,"40,000","40,000",0, - , 식품 ,,,,2022-07-01,채소,시금치_쌈채소_나물
혼식곡,25726998422,진안농협 연잡곡 발아현미 1kg ~ 5kg  {진안농협 연잡곡:국내산 발아현미 1kg},"6,800","6,800",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
고등어,1076938093,전통 간잽이 이동삼 안동간고등어 3손(6마리) /손당 330g,"10,900","10,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,생선류
상추,81658069320,[프레베] 양상추 1통(250g이상),"2,980","2,980",0, - , 식품 ,,,,2022-07-01,채소,시금치_쌈채소_나물
상추,17971197875,상추씨앗 청치마상추 80g 추대가 늦어 늦게까지 수확,"13,800","13,800",0, - , 식품 ,,,,2022-07-01,채소,시금치_쌈채소_나물
냉동식품,1052925090,아워홈 행복한맛남 고기 손만두 1.3kg x 1봉,"6,000","6,000",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
고등어,28482774528,홀피쉬제주 세트(옥돔+고등어+갈치+참굴비)2.01kg,"54,740","54,740",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,생선류
땅콩,84200242235,제주사월 우도땅콩 150g 볶음땅콩 국산땅콩 제주도특산물,"9,900","9,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,견과류
소시지,31728291920,롯데푸드 롯데 비엔나 소시지 (135g+135g)x2개/소세지 볶음 반찬,"5,760","5,760",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,베이컨_햄_통조림
참외,30931007558,[산지직송]성주 참외 2kg 대과 (6과내) 실중량,"12,900","12,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,국산과일
파스타면,33175920806,룸모 숏 파스타 면 5종,"11,300","11,300",0, - , 식품 ,,컬리온리,,2022-07-01,샐러드_간편식,파스타_면류
맛김,31643415344,동원F&amp;B 양반김 들기름 올리브유 복합 기획세트 16봉 x 10팩 (1박스),"56,500","56,500",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
김,1003471312,갓바위대천김 파래 전장김 20g 10봉,"16,900","16,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
고구마,31231359741,[충남당진] 해나루당진 고당도 황토 호박고구마(상) 3kg,"22,800","22,800",0, - , 식품 ,,,,2022-07-01,채소,고구마_감자_당근
보리쌀,82604037131,찰보리쌀 800G(봉),"4,980","4,980",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
맛김,31678545759,[풀무원] 재래김 도시락김 (12봉)x3봉 / 총 36봉,"18,420","18,420",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
커피,32792786808,알 아메드 미식 터키식 그라운드 커피 다크 로스트 카다멈 포함 100% 정통 아라비카 프레시 &amp; 파인 그라인드 8oz,"47,240","47,240",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
혼식곡,32260070890,[예찬] [산담들담] 우리잡곡 혼합15곡 1kg,"10,470","10,470",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
김치,1103925706,광주 김치타운 묵은지 5kg,"36,900","36,900",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
밤,1340167338,구수한 밤고구마 3kg 중상(개당 50~100g),"7,900","7,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,제철과일
단무지,29793887688,[신세계TV쇼핑][일가집] 쫄깃 치자단무지 1kg,"7,100","7,100",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,밑반찬
딸기,4131848338,트로피칼마리아 국내산 냉동딸기(홀)1kg/중국산딸기1kg/가당딸기,"29,670","29,670",0, - , 식품 ,,컬리스,,2022-07-01,과일_견과_쌀,국산과일
김치,448885011,국내산 갓김치 1kg,"15,900","15,900",0, - , 식품 ,,컬리온리,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
냉동식품,31008158522,동원에프앤비 개성 감자만두 550g x2봉 총1.1kg,"9,025","9,025",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
커피,1336449419,하이드로더치 더치커피 콜드브루 고급 선물세트 (블세수예 4종)30mlx25팩 총100팩,"24,900","24,900",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
땅콩,33170854690,[프레쉬채움] 조미땅콩(튀김)20kg,"125,640","125,640",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,견과류
국수,33037605927,[프레쉬채움] 요리 옛날 국수 소면 900g 15ea 1BOX 오뚜기,"70,610","70,610",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,파스타_면류
커피,1339212292,구름상상 우간다 부기수 AA 워시드 원두커피 200g(에스프레소분쇄),"7,100","7,100",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
